X,Y
-71.11682606734047, 42.370743676935774
-71.11695863678207, 42.370161002567244
-71.09021380371891, 42.366877467670314
-71.08161149093073, 42.36430256870321
-71.09044203777505, 42.36616413343838
-71.11467590757914, 42.36652609350573
-71.07951189625626, 42.36657329712483
-71.06903454635439, 42.37086964730224
-71.06729690368995, 42.3696266677466
-71.12426960166617, 42.380873462843894
-71.12560426178807, 42.38215454583938
-71.08286798785083, 42.364363907625375
-71.09608347020688, 42.3731850226419
-71.0891695355702, 42.36331905830484
-71.0810841237686, 42.364247798059125
-71.12672632975385, 42.385793776010686
-71.1411410353661, 42.39449514129359
-71.15439997480422, 42.39535139624381
-71.07120082327441, 42.36940172881063
-71.09461058410493, 42.37109766318485
-71.11204557324096, 42.372588821872256
-71.10796082317326, 42.37219393091881
-71.11004700657016, 42.36901545189765
-71.12927252038233, 42.39368506423423
-71.14089105720849, 42.39512412231879
-71.1177520844064, 42.37469136324079
-71.13481914211657, 42.39354866659401
-71.11695851623472, 42.38328177713912
-71.08163311125469, 42.37117662722868
-71.08073270638216, 42.3710647930791
-71.09543981937054, 42.37310609128428
-71.09414613648732, 42.37278997176705
-71.08766674479267, 42.371946367139806
-71.12436066653285, 42.380509540157014
-71.1370679114815, 42.387360847625104
-71.12263449478864, 42.39120412289945
-71.07862338396514, 42.37163545524116
-71.08781470959322, 42.37139388330805
-71.11244997198246, 42.36118920086836
-71.12444053062826, 42.38981549987056
-71.13626403101993, 42.39750311980499
-71.10501772847597, 42.3753220138944
-71.10568839559133, 42.37556079893921
-71.10088743441418, 42.360348138217226
-71.08543406852506, 42.363309496308155
-71.11273989478472, 42.376978247705324
-71.08792988258242, 42.36813227133169
-71.09153007386085, 42.366974762350495
-71.09495563960652, 42.36530063878038
-71.09652533930273, 42.36394437801284
-71.11121133041092, 42.36783683330206
-71.14222507025939, 42.380577980071166
-71.08352849387663, 42.36949899688754
-71.09336494242864, 42.36460557549264
-71.10448140482231, 42.3567743107625
-71.13517676948538, 42.39150525801789
-71.15330356269001, 42.379643848053185
-71.10121714862971, 42.37259643848083
-71.0966145663589, 42.37231484622529
-71.13127592304511, 42.39770742837936
-71.13519719998195, 42.40162383614536
-71.100368242754, 42.37373768961736
-71.09956858612877, 42.37363639649278
-71.09705152684843, 42.37314283862143
-71.0869705608249, 42.37206104166511
-71.08696295613393, 42.3718314996431
-71.08562273505284, 42.37164186582058
-71.08470000810632, 42.3715741346033
-71.08609158541181, 42.37170801223551
-71.08302242791348, 42.37135924124416
-71.13104123662919, 42.382305664135046
-71.13291493400956, 42.381522985907296
-71.0990073505695, 42.37205618616541
-71.1294131878931, 42.39437468754565
-71.10302479312882, 42.37131355145251
-71.10139382590211, 42.373658568980325
-71.13635083828981, 42.39565101945317
-71.10399142846522, 42.362822422707026
-71.10543402127973, 42.36197232492595
-71.08337340261626, 42.37013958960318
-71.0971205132487, 42.373357145623274
-71.09544988922303, 42.372931932728235
-71.134468674162, 42.37776554324537
-71.08365165677675, 42.368041704668784
-71.12889145944564, 42.39304482698775
-71.10292408934907, 42.37018322052933
-71.1015702167925, 42.37208833400016
-71.096356802972, 42.37303519508796
-71.14130229869599, 42.38659901137409
-71.14930691069394, 42.374681493959656
-71.12397502262704, 42.37497255967119
-71.12416894123588, 42.37212141670709
-71.10718728671222, 42.37448432294129
-71.10324850724759, 42.374102441125885
-71.10217514554984, 42.37371615519974
-71.10141018563635, 42.37373455422534
-71.09073595166313, 42.37249590806586
-71.08987942389372, 42.37238084423334
-71.08766330381852, 42.372093849010376
-71.11902479976234, 42.39011309834614
-71.12230549055977, 42.39278831460588
-71.12155635434318, 42.39240780408345
-71.11982716483308, 42.39100416959135
-71.07864197287552, 42.36391806631318
-71.07613999733536, 42.3704327385307
-71.1030223864027, 42.36229290439599
-71.12558026038894, 42.39025269358119
-71.1249788460888, 42.39094986685759
-71.12398432094783, 42.391634392573714
-71.12370419084517, 42.39184161380582
-71.12461890989738, 42.391151067671295
-71.13808225753706, 42.374575463809876
-71.10402232634323, 42.3589919269649
-71.08119147484629, 42.37196468388893
-71.08624662266855, 42.3710381092097
-71.08544335896256, 42.371811873763896
-71.07094385156336, 42.370177153767
-71.14032130692465, 42.38852667006578
-71.12087082215217, 42.389830026441054
-71.15030559316686, 42.3935344538669
-71.12986800778225, 42.39688652454058
-71.1268137395684, 42.394590201864546
-71.13688100307353, 42.393080826291865
-71.11574450635827, 42.36639743130585
-71.10738955281349, 42.36775725305259
-71.08667237175236, 42.359459309474204
-71.0953183001461, 42.36231146950429
-71.09698914923425, 42.36161180520599
-71.1056934482604, 42.355969132386996
-71.1000722808841, 42.36153080534265
-71.07999824529479, 42.37096908938805
-71.10694624824019, 42.374978996981774
-71.10822068397343, 42.376997658356395
-71.08121134312385, 42.36772896597635
-71.11999348513498, 42.3726252035501
-71.13518053174359, 42.37244664083502
-71.15031087570463, 42.37689034094319
-71.10330318825689, 42.37344435361439
-71.10105943513383, 42.36036780635741
-71.11044547532639, 42.368859786010226
-71.10832467417647, 42.36727029393457
-71.09119085626998, 42.36558944261906
-71.1448406148163, 42.38254427572322
-71.11793189449871, 42.3891818167666
-71.1188167444121, 42.38863607615572
-71.13428167962775, 42.402529952644244
-71.13254011223121, 42.4004717987452
-71.11263794315092, 42.36249908993377
-71.08766859721084, 42.36561682340656
-71.1369031097862, 42.39257050128457
-71.13175921524811, 42.40103671807689
-71.11471309842575, 42.36937487154652
-71.1444168913122, 42.38329429140609
-71.14348220900746, 42.38351399723039
-71.10252562866529, 42.36286654034696
